,userId,Count,like,Mean,address,num_phone,city,country,creation_date,email,firstname,lastname,password,username,type,image
363,317.0,234.0,159.0,3.658119658119658,"Folio Chambers, PO Box 800",2127866504,Road Town,Tortola,2018-08-02T00:13:27.423Z,info@digitalassetfund.com,Richard,Galvin,yL49uyTZ0VQHApn,Richard Galvin,Client,
364,158.0,234.0,154.0,3.6153846153846154,Concertgebouwplein 9,2121912005,Amsterdam,Netherlands,2017-10-23T15:26:14.433Z,info@finchcapital.com,Hans,de,_2LkzAgrLkYdEXj,Hans de Back,Client,
365,318.0,233.0,164.0,3.742489270386266,23 Berkeley Square,2125891821,London,United Kingdom,2016-06-24T16:56:38.805Z,hello@gmail.com,Richard,Muirhead,qoVRc7dzgNSxwlr,Richard Muirhead,Client,
366,192.0,233.0,163.0,3.59656652360515,"424 Clay Street, Lower Level",2121085369,San Francisco,United States,2017-02-13T09:27:21.180Z,Jayce_Dietrich55@yahoo.com,Jayce,Dietrich,5xV1uOTiTIR_xCO,Jayce_Dietrich,Client,
367,203.0,232.0,168.0,3.6293103448275863,12011 11th Street,2124298157,Manhattan Beach,United States,2017-05-27T09:28:57.725Z,john@altmoneyfund.com,John,Chalekson,mFEgsH5GWcePwng,John Chalekson,Client,
368,152.0,232.0,144.0,3.6551724137931036,"Unit B , 13/F, Hang Lung House",2129939035,Hong Kong,Hong Kong,2016-06-17T05:50:20.515Z,Gust.Beier21@hotmail.com,Gust,Beier,B6F7WPOIxJeSf3u,Gust87,Client,
369,161.0,230.0,162.0,3.743478260869565,"Suite 734, 1055 Dunsmuir Street",2122820179,Vancouver,Canada,2016-07-16T22:01:32.436Z,Hattie.Hoeger@hotmail.com,Hattie,Hoeger,iD2NsGPJ1Hn3vSy,Hattie_Hoeger,Client,
370,176.0,230.0,133.0,3.7130434782608694,2661 Magnolia Avenue,2125027153,Los Angeles,United States,2018-10-20T21:12:08.613Z,invest@fund3.co,Jackson,Finio,4IgUAIvBLqS7Pbh,Jackson Finio,Client,
371,201.0,228.0,147.0,3.7149122807017543,535 Madison Avenue,2120975241,New York,United States,2018-02-22T19:55:08.640Z,Johann_Stroman@hotmail.com,Johann,Stroman,xdREyCzCwZENtPp,Johann11,Client,
372,329.0,226.0,158.0,3.646017699115044,"4675 MacArthur Court, Suite 1470",2122885545,Newport Beach,United States,2016-11-10T02:10:20.034Z,clientservices@palmyfunds.com,Ryan,Knott,H6PrL2DVesD4m1w,Ryan Knott,Client,
373,104.0,225.0,155.0,3.6533333333333333,"5.02, 8 Claymore Hill",2128196466,Singapore,Singapore,2017-08-31T02:27:22.848Z,Demond8@gmail.com,Demond,Purdy,g578b_xexh9TFBA,Demond_Purdy54,Client,
374,15.0,224.0,173.0,3.7098214285714284,"152 W. 57th Street, Floor 10",2127578821,Cremorne,Australia,2018-06-22T20:09:28.010Z,Alverta68@hotmail.com,Alverta,Barton,DuAg3RdS8x_VJcJ,Alverta.Barton,Client,
375,97.0,224.0,151.0,3.705357142857143,"152 W. 57th Street, Floor 10",2127255817,San Francisco,United States,2017-12-26T05:15:21.603Z,hello@galaxycapitalpartners.com,Dave,Misra,AbJfT5w0Nnq7qPq,Dave Misra,Client,
376,375.0,223.0,176.0,3.713004484304933,"333 Middle Huaihai Rd, Ste 1502",2129468220,Shanghai,China,2016-07-16T22:01:32.436Z,info@lunpartners.com,Wilson,Tsai,iD2NsGPJ1Hn3vSy,Wilson Tsai,Client,
377,261.0,223.0,147.0,3.708520179372197,72 Cannon Street,2120099031,London,United Kingdom,2017-08-17T21:39:05.749Z,info@saffronlabs.com,Matthew,Slater,Dlf6n6TIPipnSMJ,Matthew Slater,Client,
378,30.0,221.0,140.0,3.6063348416289593,"2865 Sand Hill Road, Suite 101",2129542362,Menlo Park,United States,2018-08-02T00:13:27.423Z,Antonette74@yahoo.com,Antonette,Baumbach,yL49uyTZ0VQHApn,Antonette90,Client,
379,32.0,210.0,166.0,3.6095238095238096,"65 High Ridge Road, Suite 318",2128820184,Stamford,United States,2019-02-27T17:15:40.923Z,info@blocktower.com,Ari,Paul,SX_NGIC9MFVSQbt,Ari Paul,Client,
380,381.0,0.0,0.0,0.0,"Lala chafia rue 26 Numéro 8, tanger",662664523,tanger,Maroc,,errzieq@gmail.com,el mehdi,errzieq,123456,Errzieq9777,Vendeur,
381,382.0,0.0,0.0,0.0,"Lala chafia rue 26 Numéro 8, tanger",0662664523,tanger,Maroc,,test@gmail.com,test,test,147258369,test,Vendeur,a.jpg
382,383.0,0.0,0.0,0.0,"Lala chafia rue 26 Numéro 8, tanger",113994067,tanger,Maroc,,senhaji@gmail.com,senhaji,abdelmounim,19971997,senhaji,Admin,
